Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,test_preparation_course,math_score,reading_score,writing_score,science_score
S2335,Emma,Jones,student1335@university.com,Male,23.0,Engineering,98.01,67.4,81.44,84.96,80.81,5.18,53.16,50.4,A,0.0,36,79.0,55.0,91.0
S8798,Ali,Johnson,student4096@university.com,Female,20.0,Business,61.65,50.84,67.07,90.78,59.75,6.52,72.38,84.91,F,1.0,27,42.0,71.0,71.0
S4732,Ahmed,Williams,student3732@university.com,Male,24.0,Business,88.64,80.05,41.31,55.85,92.52,3.12,61.31,97.34,A,1.0,61,85.0,64.0,91.0
S9465,Sara,Davis,student4610@university.com,Male,23.0,Business,85.31,96.35,80.64,62.84,86.41,6.6,83.75,84.29,B,1.0,59,37.0,85.0,80.0
S2189,Liam,Williams,student1189@university.com,Male,24.0,Mathematics,61.5,74.7,71.4,93.02,99.49,7.35,55.51,85.06,C,1.0,20,49.0,82.0,32.0
S10063,John,Johnson,student1559@university.com,Female,21.0,CS,55.26,86.7,71.17,86.97,74.46,0.49,86.13,82.32,B,0.0,79,98.0,81.0,90.0
S2337,Emma,Davis,student1337@university.com,Female,20.0,CS,80.85,72.86,53.41,99.41,65.25,0.47,85.01,81.58,D,1.0,98,47.0,48.0,37.0
S5510,Ali,Davis,student4510@university.com,Male,20.0,Engineering,66.74,55.45,87.78,90.64,79.44,9.58,96.99,67.32,C,0.0,48,76.0,33.0,63.0
S3831,Sara,Smith,student2831@university.com,Male,24.0,Business,99.75,96.86,50.92,97.68,94.36,3.94,71.15,77.33,B,1.0,33,88.0,42.0,78.0
S9366,John,Williams,student3166@university.com,Male,18.0,Business,64.6,75.42,47.65,66.05,89.61,5.38,64.28,60.89,B,0.0,63,74.0,95.0,47.0
S2488,Ali,Williams,student1488@university.com,Female,23.0,Engineering,93.25,94.37,48.65,62.7,76.16,8.05,71.53,74.79,A,0.0,88,76.0,99.0,29.0
S7534,John,Davis,student1164@university.com,Female,23.0,CS,92.38,93.66,59.31,96.41,87.85,3.84,77.0,82.51,D,0.0,27,70.0,89.0,62.0
S3693,Maria,Johnson,student2693@university.com,Male,22.0,Business,90.65,73.2,56.45,65.51,68.84,4.69,83.85,76.91,A,1.0,28,76.0,51.0,67.0
S10431,Liam,Johnson,student430@university.com,Male,22.0,Engineering,79.69,87.98,67.53,57.23,95.12,7.54,93.21,58.93,F,0.0,60,38.0,84.0,87.0
S4411,Omar,Williams,student3411@university.com,Male,22.0,CS,79.44,69.88,98.0,92.08,86.71,7.68,76.53,74.86,B,0.0,26,87.0,59.0,62.0
S3952,Emma,Johnson,student2952@university.com,Female,20.0,CS,87.48,75.75,47.8,84.67,87.29,8.93,80.35,62.33,B,1.0,86,75.0,52.0,48.0
S6688,Sara,Davis,student2126@university.com,Female,23.0,Engineering,98.41,71.45,73.51,93.18,62.09,3.7,90.99,96.48,A,0.0,95,68.0,69.0,45.0
S2757,Ali,Jones,student1757@university.com,Female,20.0,Engineering,57.43,89.21,62.84,52.9,81.01,5.54,62.11,72.24,D,0.0,21,92.0,98.0,100.0
S7943,Maria,Davis,student1271@university.com,Male,22.0,Business,75.54,45.42,59.01,96.09,90.53,8.92,63.42,78.94,D,1.0,61,75.0,39.0,42.0
S6556,Emma,Brown,student2014@university.com,Male,23.0,Engineering,77.26,72.67,40.21,63.5,96.46,4.04,60.12,86.1,D,1.0,47,59.0,87.0,90.0
S6226,Ali,Jones,student449@university.com,Female,21.0,CS,51.44,51.75,98.0,52.88,94.34,6.89,55.61,53.1,B,0.0,28,32.0,59.0,98.0
S8459,Omar,Williams,student3005@university.com,Female,21.0,Engineering,99.14,75.32,75.2,73.35,77.1,3.87,94.02,64.5,D,1.0,48,82.0,89.0,57.0
S6920,Ahmed,Davis,student819@university.com,Male,18.0,Mathematics,98.48,90.82,82.08,95.75,68.9,0.09,79.55,52.03,C,0.0,27,71.0,100.0,50.0
S8508,Ahmed,Davis,student3991@university.com,Male,23.0,Business,81.04,95.29,84.5,57.76,56.78,6.26,76.3,74.97,F,1.0,73,41.0,37.0,61.0
S7135,Maria,Jones,student3209@university.com,Male,21.0,CS,60.87,84.76,85.41,55.1,98.23,3.83,85.17,78.34,B,0.0,100,50.0,88.0,85.0
S4206,Ali,Johnson,student3206@university.com,Male,20.0,Mathematics,96.92,76.91,48.82,53.01,79.36,2.01,74.43,74.94,B,1.0,72,72.0,73.0,70.0
S9112,Ahmed,Johnson,student4867@university.com,Female,18.0,Engineering,96.74,66.73,52.53,86.55,57.66,8.73,69.54,91.23,C,0.0,56,79.0,72.0,59.0
S9520,Ali,Smith,student145@university.com,Female,18.0,CS,86.07,76.91,52.72,89.04,50.2,5.92,88.74,97.74,F,0.0,47,100.0,47.0,72.0
S2242,Omar,Jones,student1242@university.com,Female,24.0,CS,71.09,86.12,46.71,83.98,52.13,8.74,62.22,83.09,D,1.0,42,35.0,43.0,62.0
S1302,John,Johnson,student302@university.com,Female,22.0,CS,71.96,76.15,94.71,94.47,56.65,1.75,50.59,50.69,C,0.0,75,96.0,100.0,100.0
S9614,Sara,Smith,student4882@university.com,Female,23.0,CS,52.89,82.06,83.04,82.36,94.27,3.8,59.07,88.96,F,0.0,28,76.0,100.0,55.0
S1781,John,Johnson,student781@university.com,Female,19.0,Mathematics,70.88,68.44,47.94,69.59,50.43,2.37,91.43,81.77,D,1.0,71,92.0,80.0,88.0
S1206,Liam,Johnson,student206@university.com,Male,24.0,CS,64.54,95.22,64.51,58.39,99.94,5.08,57.32,62.03,D,1.0,33,54.0,63.0,57.0
S1296,Emma,Brown,student296@university.com,Male,22.0,Engineering,58.89,41.89,41.64,85.28,92.78,9.2,87.4,55.58,C,0.0,40,59.0,75.0,39.0
S10582,Ahmed,Johnson,student1494@university.com,Male,19.0,Business,97.65,58.74,96.99,93.24,63.98,1.49,78.31,82.91,B,0.0,75,49.0,59.0,88.0
S10484,Emma,Williams,student2059@university.com,Male,19.0,Engineering,53.5,65.96,72.79,50.6,97.45,6.44,58.78,89.76,C,1.0,27,75.0,76.0,81.0
S9101,Liam,Jones,student1386@university.com,Female,22.0,Engineering,89.53,90.1,48.09,69.14,90.85,3.23,83.01,93.0,B,0.0,60,58.0,80.0,83.0
S6321,Ahmed,Jones,student1567@university.com,Female,19.0,CS,53.72,48.77,98.72,65.03,82.24,0.13,92.79,65.96,A,0.0,74,58.0,64.0,80.0
S3721,Ahmed,Davis,student2721@university.com,Male,21.0,Mathematics,99.27,85.55,74.29,55.55,57.03,8.66,94.34,54.5,A,0.0,37,64.0,78.0,34.0
S5667,Sara,Brown,student4667@university.com,Male,22.0,Engineering,83.58,57.12,85.73,81.26,97.86,3.95,80.82,98.76,D,0.0,76,60.0,40.0,60.0
S1903,Omar,Davis,student903@university.com,Male,22.0,Mathematics,66.23,97.74,76.23,55.15,86.19,7.04,93.08,95.67,D,0.0,33,61.0,51.0,22.0
S3377,Liam,Davis,student2377@university.com,Female,20.0,CS,77.34,57.63,48.48,94.42,59.62,3.1,54.75,84.72,D,1.0,55,100.0,66.0,100.0
S2124,Emma,Smith,student1124@university.com,Female,21.0,CS,81.7,56.92,55.34,91.84,93.02,4.56,95.88,88.8,F,1.0,82,60.0,62.0,67.0
S5469,Ahmed,Johnson,student4469@university.com,Female,24.0,CS,99.13,70.22,71.41,78.62,93.67,9.25,94.22,80.77,A,0.0,76,51.0,77.0,99.0
S3853,Emma,Brown,student2853@university.com,Female,24.0,CS,55.39,55.53,66.68,57.81,76.51,3.29,86.43,69.58,F,1.0,70,72.0,43.0,33.0
S5619,John,Jones,student4619@university.com,Female,20.0,CS,99.85,44.73,46.63,51.32,59.74,2.79,70.81,63.94,A,0.0,15,100.0,96.0,75.0
S4517,Ali,Davis,student3517@university.com,Male,20.0,Engineering,74.27,54.45,88.98,96.16,51.98,1.84,56.57,60.9,B,0.0,40,59.0,91.0,79.0
S1265,Sara,Johnson,student265@university.com,Male,24.0,Engineering,65.11,46.61,82.1,63.35,55.26,3.65,61.3,99.56,F,0.0,50,65.0,59.0,64.0
S4886,Emma,Brown,student3886@university.com,Female,19.0,Business,96.65,77.85,42.64,62.66,67.88,4.83,55.14,64.21,B,1.0,65,97.0,16.0,62.0
S5292,Maria,Johnson,student4292@university.com,Male,19.0,CS,65.63,97.49,72.57,77.33,96.4,8.29,94.49,94.01,D,1.0,40,73.0,94.0,39.0
S4027,Ahmed,Johnson,student3027@university.com,Female,20.0,Business,70.36,97.71,94.46,91.17,85.51,4.2,72.43,93.14,D,0.0,48,61.0,61.0,67.0
S10897,Ahmed,Jones,student4618@university.com,Female,21.0,Business,74.12,75.03,71.67,77.16,93.51,2.59,60.33,67.51,F,1.0,79,57.0,100.0,87.0
S9427,Maria,Jones,student3091@university.com,Female,22.0,Engineering,77.92,71.18,53.67,63.77,94.92,0.46,78.47,55.92,D,1.0,83,57.0,64.0,62.0
S8018,Ali,Jones,student3972@university.com,Female,19.0,Business,86.69,49.23,92.18,67.23,90.01,0.38,51.39,98.72,B,0.0,53,72.0,92.0,55.0
S6636,Ahmed,Johnson,student394@university.com,Male,20.0,CS,59.18,65.58,89.82,99.85,89.68,8.87,56.07,93.68,F,1.0,74,78.0,93.0,90.0
S6407,Emma,Davis,student89@university.com,Female,19.0,Business,63.41,83.74,68.27,64.44,65.41,1.39,52.08,52.1,A,0.0,64,72.0,70.0,59.0
S3676,Ahmed,Brown,student2676@university.com,Male,24.0,CS,67.81,81.47,40.19,52.16,83.67,2.24,57.64,90.61,B,1.0,73,65.0,82.0,83.0
S7141,Ali,Davis,student90@university.com,Male,18.0,CS,57.48,76.43,59.28,71.36,52.31,7.02,68.39,62.8,A,0.0,62,94.0,78.0,59.0
S1358,Ali,Johnson,student358@university.com,Female,23.0,Business,83.33,51.04,56.17,70.85,97.57,9.31,96.76,63.5,A,0.0,86,66.0,43.0,12.0
S9869,Emma,Smith,student1853@university.com,Male,19.0,Engineering,51.45,47.73,75.61,75.31,66.75,4.1,63.68,84.44,F,1.0,59,92.0,90.0,57.0
S5824,Ahmed,Brown,student4824@university.com,Female,22.0,Engineering,97.83,54.91,71.65,72.76,99.23,6.51,88.69,78.37,B,1.0,54,89.0,43.0,63.0
S10091,Ahmed,Davis,student2240@university.com,Female,19.0,CS,51.64,41.05,94.31,53.56,53.74,8.31,70.45,75.74,C,0.0,34,82.0,65.0,70.0
S7781,Liam,Brown,student1747@university.com,Male,18.0,CS,93.99,73.23,46.72,68.17,76.78,7.57,79.73,59.04,C,1.0,100,56.0,75.0,94.0
S2608,Emma,Williams,student1608@university.com,Male,23.0,CS,99.6,63.04,67.57,75.25,70.66,6.46,51.92,62.71,A,1.0,31,100.0,48.0,62.0
S4648,Ali,Davis,student3648@university.com,Female,21.0,CS,67.78,45.38,66.62,65.84,61.96,7.05,62.23,69.46,B,1.0,79,80.0,91.0,81.0
S4430,John,Jones,student3430@university.com,Female,21.0,Engineering,76.74,73.82,70.21,77.77,74.56,0.35,90.73,58.65,F,0.0,67,59.0,74.0,43.0
S7553,Liam,Jones,student1656@university.com,Female,19.0,Mathematics,70.33,59.46,93.36,91.78,63.03,8.92,72.04,94.2,A,1.0,66,60.0,78.0,97.0
S6450,Maria,Jones,student2793@university.com,Male,19.0,Business,56.71,75.41,61.64,83.13,73.04,3.97,69.47,50.38,A,0.0,74,80.0,74.0,68.0
S3352,John,Williams,student2352@university.com,Female,21.0,CS,84.61,55.23,56.39,56.48,57.18,7.08,64.31,90.86,F,0.0,19,100.0,37.0,63.0
S2907,Ali,Jones,student1907@university.com,Male,23.0,CS,71.6,55.16,60.53,81.16,64.76,0.74,85.18,70.79,F,1.0,33,92.0,64.0,66.0
S9052,Emma,Williams,student4405@university.com,Male,23.0,Business,87.36,91.17,66.11,74.87,61.43,0.89,70.31,99.02,F,0.0,63,84.0,100.0,90.0
S3847,Maria,Brown,student2847@university.com,Female,24.0,CS,72.29,45.34,79.67,74.98,54.17,5.17,70.02,56.21,C,0.0,55,100.0,77.0,12.0
S6544,Ali,Jones,student1391@university.com,Male,23.0,Mathematics,96.45,92.36,67.69,74.75,87.54,1.91,67.36,51.03,F,0.0,53,95.0,80.0,81.0
S5727,Omar,Jones,student4727@university.com,Male,22.0,CS,99.41,75.0,63.69,87.25,99.81,2.26,71.35,98.62,A,1.0,63,92.0,56.0,59.0
S3711,Omar,Smith,student2711@university.com,Male,24.0,CS,88.05,58.5,73.52,64.88,87.36,4.59,88.68,54.18,A,0.0,36,56.0,70.0,66.0
S1867,Emma,Johnson,student867@university.com,Male,22.0,CS,84.15,87.36,86.91,95.81,77.81,9.74,74.43,50.57,A,0.0,69,100.0,16.0,100.0
S1698,Sara,Williams,student698@university.com,Male,22.0,CS,86.72,67.64,56.3,58.14,62.89,8.69,74.2,87.48,B,1.0,20,53.0,83.0,35.0
S10568,Ali,Davis,student2032@university.com,Female,23.0,Engineering,80.84,51.63,62.47,91.83,54.44,8.33,75.35,71.7,F,0.0,53,73.0,100.0,43.0
S6156,Sara,Davis,student3608@university.com,Female,19.0,Engineering,53.82,99.33,86.61,51.27,57.32,6.74,53.21,92.85,D,0.0,54,42.0,70.0,41.0
S7923,Sara,Jones,student4320@university.com,Male,23.0,Mathematics,71.61,94.23,88.53,93.71,93.32,9.46,89.76,52.51,D,1.0,94,64.0,55.0,58.0
S5012,Sara,Jones,student4012@university.com,Female,21.0,CS,55.91,78.12,80.11,87.79,61.95,1.19,58.61,73.77,F,1.0,76,72.0,48.0,65.0
S1519,Sara,Davis,student519@university.com,Male,22.0,Mathematics,95.45,73.12,84.57,96.29,65.71,1.21,83.6,62.6,B,1.0,23,68.0,58.0,48.0
S10407,Maria,Johnson,student3826@university.com,Male,20.0,Engineering,91.81,80.81,54.18,51.19,62.17,9.86,97.01,54.38,B,0.0,63,45.0,89.0,68.0
S1979,Emma,Davis,student979@university.com,Male,23.0,Business,69.07,90.15,70.19,59.95,66.57,2.07,95.58,99.46,A,0.0,33,63.0,100.0,95.0
S5321,Omar,Williams,student4321@university.com,Male,24.0,Engineering,88.82,52.64,62.69,50.94,54.58,0.6,98.96,70.58,B,0.0,48,91.0,29.0,25.0
S1016,Maria,Jones,student16@university.com,Female,21.0,CS,75.05,90.11,56.81,67.34,67.59,8.48,63.16,73.21,F,0.0,35,70.0,87.0,91.0
S3540,Ahmed,Williams,student2540@university.com,Female,19.0,Business,94.21,54.35,59.99,52.16,92.06,8.3,90.3,55.07,A,1.0,64,74.0,80.0,55.0
S3483,Liam,Smith,student2483@university.com,Male,21.0,CS,90.83,98.47,90.03,74.75,96.04,3.86,90.48,58.96,A,1.0,57,44.0,45.0,63.0
S9577,Sara,Smith,student3070@university.com,Female,20.0,Business,84.55,44.28,77.57,84.53,79.34,6.78,77.72,50.7,B,1.0,52,76.0,95.0,41.0
S5005,Emma,Jones,student4005@university.com,Female,18.0,Business,99.52,69.85,42.79,87.89,52.36,1.41,96.35,56.6,B,0.0,52,47.0,63.0,9.0
S9519,Omar,Brown,student3018@university.com,Female,23.0,CS,77.75,51.05,82.06,95.36,91.73,6.56,99.89,71.2,D,1.0,70,31.0,70.0,71.0
S10694,John,Smith,student4252@university.com,Female,19.0,CS,79.84,73.91,84.8,67.15,69.25,2.88,95.8,98.92,D,0.0,92,82.0,53.0,57.0
S2049,Ali,Jones,student1049@university.com,Male,23.0,Business,68.12,96.0,40.8,61.15,92.31,9.13,98.37,57.1,B,0.0,48,86.0,84.0,54.0
S5649,Sara,Jones,student4649@university.com,Male,21.0,Engineering,79.79,89.59,84.49,67.06,53.15,2.04,68.71,61.05,A,1.0,58,69.0,56.0,44.0
S2469,Ali,Brown,student1469@university.com,Female,24.0,Business,84.03,92.62,59.35,89.04,96.05,3.01,97.68,83.6,F,0.0,56,70.0,81.0,84.0
S6137,Omar,Smith,student565@university.com,Male,22.0,Engineering,66.48,48.33,83.72,75.52,72.36,6.1,94.18,79.74,B,1.0,50,97.0,75.0,53.0
S4419,Omar,Smith,student3419@university.com,Male,18.0,Engineering,74.17,75.69,91.0,59.4,67.81,9.9,83.27,80.71,A,1.0,27,84.0,48.0,78.0
S9333,Sara,Williams,student299@university.com,Male,18.0,Engineering,71.4,52.77,64.11,90.17,86.4,6.34,90.92,52.88,F,1.0,79,76.0,100.0,92.0
S8845,Maria,Williams,student4567@university.com,Female,21.0,Engineering,92.79,41.9,99.13,87.75,67.95,7.13,93.52,78.32,C,0.0,87,53.0,46.0,85.0
S5093,Omar,Johnson,student4093@university.com,Male,22.0,CS,84.96,55.58,58.4,50.81,71.98,7.27,57.51,71.27,A,0.0,12,46.0,66.0,9.0
S9247,Ahmed,Jones,student2421@university.com,Female,20.0,CS,86.85,86.5,54.72,84.9,53.14,7.75,58.11,68.42,A,1.0,54,75.0,63.0,43.0
S2491,Omar,Davis,student1491@university.com,Male,18.0,CS,67.57,44.79,48.33,70.54,59.77,7.64,64.2,81.9,C,1.0,41,97.0,61.0,56.0
S4050,Liam,Smith,student3050@university.com,Female,24.0,CS,69.83,65.99,47.48,67.7,58.11,1.81,90.41,90.24,C,0.0,70,77.0,65.0,44.0
S3099,John,Brown,student2099@university.com,Female,19.0,Engineering,61.95,81.38,43.87,56.96,84.25,0.6,53.84,65.17,F,0.0,23,60.9,71.0,85.0
S6288,Ali,Johnson,student3422@university.com,Female,18.0,CS,89.56,75.5,41.09,89.27,82.75,7.09,73.34,54.41,B,1.0,75,65.0,76.0,32.0
S6776,Maria,Williams,student4007@university.com,Male,20.0,CS,55.5,51.48,53.07,61.45,72.92,0.75,90.29,78.83,B,0.0,71,85.0,93.0,85.0
S9597,Maria,Davis,student2603@university.com,Male,18.0,Engineering,75.6,87.85,46.06,96.67,64.83,5.4,66.64,79.15,C,0.0,87,97.0,63.0,56.0
S10066,Ahmed,Brown,student1148@university.com,Male,19.0,Engineering,69.61,72.86,70.91,64.68,55.03,8.39,75.44,84.09,D,0.0,75,78.0,64.0,61.0
S7786,Omar,Smith,student1213@university.com,Male,19.0,Engineering,71.22,58.19,47.32,83.7,97.13,5.5,63.68,62.53,B,1.0,78,78.0,100.0,65.0
S5812,Sara,Brown,student4812@university.com,Female,18.0,CS,75.41,51.65,72.8,75.75,62.02,4.88,53.19,80.16,C,0.0,19,45.0,58.0,47.0
S1507,John,Jones,student507@university.com,Male,20.0,CS,52.63,99.36,67.96,78.46,54.39,0.24,74.37,59.23,D,0.0,60,85.0,72.0,58.0
S3159,Ahmed,Williams,student2159@university.com,Female,18.0,Engineering,76.72,95.0,97.54,92.73,74.22,1.49,54.35,89.47,A,0.0,54,97.0,81.0,88.0
S4649,Ali,Williams,student3649@university.com,Male,24.0,Business,71.7,58.03,77.93,93.71,93.37,5.34,79.44,50.17,C,0.0,61,74.0,45.0,9.0
S10259,Emma,Davis,student4451@university.com,Female,21.0,Engineering,94.16,62.37,97.09,51.74,82.21,9.31,58.02,82.92,F,1.0,64,83.0,66.0,90.0
S3546,Liam,Davis,student2546@university.com,Male,20.0,Engineering,79.74,51.82,94.86,80.34,53.84,8.21,58.68,72.36,B,0.0,63,82.0,80.0,15.0
S1086,Emma,Johnson,student86@university.com,Male,18.0,CS,81.43,73.14,47.1,91.9,82.48,1.07,97.77,79.86,C,1.0,28,82.0,87.0,52.0
S10911,Ahmed,Brown,student4110@university.com,Female,19.0,CS,83.46,96.25,41.57,64.9,65.76,2.33,52.98,57.12,A,0.0,27,51.0,86.0,64.0
S7756,Sara,Jones,student254@university.com,Female,19.0,Mathematics,54.45,98.46,84.47,51.66,50.3,6.37,77.95,58.82,F,0.0,66,68.0,100.0,94.0
S5051,Emma,Smith,student4051@university.com,Female,23.0,Engineering,63.68,97.81,98.82,53.72,80.7,9.31,61.92,72.23,D,0.0,36,81.0,45.0,82.0
S1970,Liam,Smith,student970@university.com,Male,21.0,CS,57.43,53.81,74.71,70.38,67.36,4.71,53.68,87.98,D,0.0,25,55.0,55.0,63.0
S10151,Maria,Jones,student3044@university.com,Male,21.0,CS,97.85,90.08,77.36,51.27,75.43,6.63,93.87,95.36,A,0.0,53,67.0,59.0,90.0
S3640,Omar,Smith,student2640@university.com,Male,22.0,Business,87.29,87.47,72.86,65.62,96.76,1.93,71.64,84.79,A,0.0,25,96.0,48.0,80.0
S4742,Omar,Johnson,student3742@university.com,Male,24.0,Engineering,86.91,53.69,57.43,85.91,92.47,4.8,94.11,93.75,B,0.0,80,100.0,72.0,89.0
S4227,Sara,Davis,student3227@university.com,Female,22.0,CS,81.16,61.87,75.44,53.75,96.48,7.38,77.74,96.06,B,1.0,24,67.0,92.0,71.0
S5704,Ali,Smith,student4704@university.com,Female,24.0,CS,52.42,72.85,82.37,91.79,96.43,7.79,93.18,65.82,F,1.0,89,68.0,42.0,28.0
S8629,Ali,Smith,student1818@university.com,Female,20.0,Engineering,73.37,76.0,97.01,67.4,79.06,0.02,94.2,72.44,B,1.0,53,68.0,84.0,70.0
S10012,Sara,Brown,student4979@university.com,Male,20.0,CS,89.73,83.39,76.5,77.71,90.62,5.05,86.52,84.99,A,1.0,58,89.0,48.0,66.0
S8364,Sara,Smith,student15@university.com,Female,19.0,Business,97.5,82.71,82.45,50.15,56.79,7.65,71.04,80.1,C,0.0,64,74.0,99.0,100.0
S8849,Sara,Davis,student4961@university.com,Female,22.0,Engineering,93.71,41.74,55.68,98.15,53.17,3.6,89.01,60.64,D,1.0,100,88.0,85.0,63.0
S5194,Ahmed,Johnson,student4194@university.com,Female,18.0,Engineering,94.56,73.99,87.47,81.18,78.97,4.18,65.0,79.52,A,1.0,21,48.0,58.0,73.0
S7025,Sara,Brown,student1060@university.com,Female,18.0,Business,57.19,52.33,46.43,65.98,55.03,4.49,70.95,69.44,B,0.0,70,67.0,88.0,79.0
S6204,Omar,Brown,student497@university.com,Male,22.0,Business,74.14,85.63,59.64,90.59,88.16,1.29,79.02,94.99,B,1.0,72,39.0,41.0,73.0
S7919,Maria,Davis,student4085@university.com,Male,22.0,Business,56.49,63.49,99.47,77.78,69.22,2.46,62.19,63.13,A,0.0,41,41.0,47.0,61.0
S9457,Ali,Williams,student1966@university.com,Male,21.0,Engineering,96.66,71.7,79.94,68.54,50.42,6.69,64.72,70.6,A,0.0,59,70.0,100.0,94.0
S5893,Ahmed,Brown,student4893@university.com,Female,23.0,CS,90.12,66.91,88.31,82.0,78.71,8.69,55.03,54.54,A,0.0,16,100.0,72.0,89.0
